Questions,Query,Predicted,CorrectlyPredicted,TablesPredicted Correctly,Similarity,Columns predicted Correctly,Effectiveness
SHOW THE DISTINCT DIRECTOR OF FILMS WITH MARKET ESTIMATION IN THE YEAR OF 1995,SELECT DISTINCT T1.DIRECTOR FROM FILM AS T1 JOIN FILM_MARKET_ESTIMATION AS T2 ON T1.FILM_ID  =  T2.FILM_ID WHERE T2.YEAR  =  1995,SELECT DISTINCT T1.DIRECTOR FROM FILM AS T1 JOIN FILM_MARKET_ESTIMATION AS T2 ON T1.FILM_ID  =  T2.FILM_ID WHERE T2.YEAR  =  1995,SELECT DISTINCT T1.DIRECTOR FROM FILM AS T1 JOIN FILM_MARKET_ESTIMATION AS T2 ON T1.FILM_ID  =  T2.FILM_ID WHERE T2.YEAR  =  1995,2,1,1,Excellent
SHOW THE CUSTOMER IDS AND FIRSTNAME WITHOUT A CREDIT CARD,"SELECT CUSTOMER_ID ,  CUSTOMER_FIRST_NAME FROM CUSTOMERS EXCEPT SELECT T1.CUSTOMER_ID ,  T2.CUSTOMER_FIRST_NAME FROM CUSTOMERS_CARDS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE CARD_TYPE_CODE  =  ""CREDIT""","SELECT T1.NAME FROM ADDRESSES AS T1 JOIN STUDENTS AS T2 ON T1.ADDRESS_ID  =  T2.ADDRESS_ID WHERE T2.FIRST_NAME  =  ""ACCT-211'",,0,0.50251891,0,Good
FIND THE WHITE GRAPE USED TO PRODUCE WINES WITH SCORES ABOVE 90,"SELECT DISTINCT T1.GRAPE FROM GRAPES AS T1 JOIN WINE AS T2 ON T1.GRAPE  =  T2.GRAPE WHERE T1.COLOR  =  ""WHITE"" AND T2.SCORE  >  90",SELECT DISTINCT T1.FORENAME FROM DRIVERS AS T1 JOIN DRIVERSTANDINGS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T2.START_DATE  =  (SELECT MAX(START_DATE) FROM POLICIES),,0,0.46524211,0,Good
WHO ARE THE PLAYERS FROM INDONESIA,"SELECT T2.PLAYER FROM COUNTRY AS T1 JOIN MATCH_SEASON AS T2 ON T1.COUNTRY_ID  =  T2.COUNTRY WHERE T1.COUNTRY_NAME  =  ""INDONESIA""","SELECT T2.PLAYER FROM COUNTRY AS T1 JOIN MATCH_SEASON AS T2 ON T1.COUNTRY_ID  =  T2.COUNTRY WHERE T1.COUNTRY_NAME  =  ""INDONESIA""","SELECT T2.PLAYER FROM COUNTRY AS T1 JOIN MATCH_SEASON AS T2 ON T1.COUNTRY_ID  =  T2.COUNTRY WHERE T1.COUNTRY_NAME  =  ""INDONESIA""",2,1,1,Excellent
TELL ME THE BOOKING STATUS CODE FOR THE APARTMENT WITH NUMBER SUITE 634,"SELECT T1.BOOKING_STATUS_CODE FROM APARTMENT_BOOKINGS AS T1 JOIN APARTMENTS AS T2 ON T1.APT_ID  =  T2.APT_ID WHERE T2.APT_NUMBER  =  ""SUITE 634""","SELECT T1.BOOKING_STATUS_CODE FROM APARTMENT_BOOKINGS AS T1 JOIN APARTMENTS AS T2 ON T1.APT_ID  =  T2.APT_ID WHERE T2.APT_NUMBER  =  ""SUITE 634""","SELECT T1.BOOKING_STATUS_CODE FROM APARTMENT_BOOKINGS AS T1 JOIN APARTMENTS AS T2 ON T1.APT_ID  =  T2.APT_ID WHERE T2.APT_NUMBER  =  ""SUITE 634""",2,1,1,Excellent
WHAT IS THE ROLE NAME AND ROLE DESCRIPTION FOR EMPLOYEE CALLED EBBA,"SELECT T2.ROLE_NAME ,  T2.ROLE_DESCRIPTION FROM EMPLOYEES AS T1 JOIN ROLES AS T2 ON T1.ROLE_CODE  =  T2.ROLE_CODE WHERE T1.EMPLOYEE_NAME  =  ""EBBA""","SELECT T2.ROLE_NAME ,  T2.ROLE_DESCRIPTION FROM EMPLOYEES AS T1 JOIN ROLES AS T2 ON T1.ROLE_CODE  =  T2.ROLE_CODE WHERE T1.EMPLOYEE_NAME  =  ""EBBA""","SELECT T2.ROLE_NAME ,  T2.ROLE_DESCRIPTION FROM EMPLOYEES AS T1 JOIN ROLES AS T2 ON T1.ROLE_CODE  =  T2.ROLE_CODE WHERE T1.EMPLOYEE_NAME  =  ""EBBA""",2,1,1,Excellent
COUNT THE NUMBER OF TRACKS THAT ARE OF THE MEDIA TYPE AAC AUDIO FILE,"SELECT COUNT(*) FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MEDIATYPEID  =  T2.MEDIATYPEID WHERE T1.NAME  =  ""AAC AUDIO FILE""","SELECT COUNT(*) FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MEDIATYPEID  =  T2.MEDIATYPEID WHERE T1.NAME  =  ""AAC AUDIO FILE""","SELECT COUNT(*) FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MEDIATYPEID  =  T2.MEDIATYPEID WHERE T1.NAME  =  ""AAC AUDIO FILE""",2,1,1,Excellent
LIST THE NAME OF ALL THE DISTINCT CUSTOMERS WHO HAVE ORDERS WITH STATUS PACKING,"SELECT DISTINCT T1.CUSTOMER_NAME FROM CUSTOMERS AS T1 JOIN ORDERS AS T2 ON T1.CUSTOMER_ID = T2.CUSTOMER_ID WHERE T2.ORDER_STATUS = ""PACKING""","SELECT DISTINCT T1.CUSTOMER_NAME FROM CUSTOMERS AS T1 JOIN CUSTOMER_ORDERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T2.ORDER_STATUS_CODE  =  ""PENDING"" ORDER BY T2.CUSTOMER_ID",,1,0.80100188,1,Excellent
SHOW IDS FOR ALL DOCUMENTS WITH BUDGET TYPES DESCRIBED AS 'GOVERNMENT',"SELECT T1.DOCUMENT_ID FROM DOCUMENTS_WITH_EXPENSES AS T1 JOIN REF_BUDGET_CODES AS T2 ON T1.BUDGET_TYPE_CODE  =  T2.BUDGET_TYPE_CODE WHERE T2.BUDGET_TYPE_DESCRIPTION  =  ""GOVERNMENT""",SELECT DISTINCT T1.SERVICE_TYPE_CODE FROM SERVICES AS T1 JOIN ORGANIZATIONS AS T2 ON T1.ORGANIZATION_ID  =  T2.ORGANIZATION_ID WHERE T2.ORGANIZATION_DETAILS  =  'DENESIK AND SONS PARTY',,0,0.46291005,0,Good
WHAT IS THE NAME AND OPENING YEAR FOR THE BRANCH THAT REGISTERED THE MOST MEMBERS IN 2016,"SELECT T2.NAME ,  T2.OPEN_YEAR FROM MEMBERSHIP_REGISTER_BRANCH AS T1 JOIN BRANCH AS T2 ON T1.BRANCH_ID  =  T2.BRANCH_ID WHERE T1.REGISTER_YEAR  =  2016 GROUP BY T2.BRANCH_ID ORDER BY COUNT(*) DESC LIMIT 1","SELECT T2.NAME ,  T2.HOMETOWN FROM MEMBERSHIP_REGISTER_BRANCH AS T1 JOIN MEMBER AS T2 ON T1.MEMBER_ID  =  T2.MEMBER_ID WHERE T1.REGISTER_YEAR  =  2016",,1,0.62360956,0.33333333,Very Good
WHO HAS A FRIEND THAT IS FROM NEW YORK CITY,SELECT T2.NAME FROM PERSON AS T1 JOIN PERSONFRIEND AS T2 ON T1.NAME  =  T2.FRIEND WHERE T1.CITY  =  'NEW YORK CITY',"SELECT SUM(DISTINCT T1.DELEGATE) FROM CLUB AS T1 JOIN MEMBER_OF_CLUB AS T2 ON T1.CLUBID  =  T2.CLUBID WHERE T1.CLUBNAME  =  ""BOOTUP BALTIMORE""",,0,0.43052839,0,Good
GIVE THE UNIT OF MEASURE FOR THE PRODUCT WITH THE NAME 'CUMIN',"SELECT T2.UNIT_OF_MEASURE FROM PRODUCTS AS T1 JOIN REF_PRODUCT_CATEGORIES AS T2 ON T1.PRODUCT_CATEGORY_CODE  =  T2.PRODUCT_CATEGORY_CODE WHERE T1.PRODUCT_NAME  =  ""CUMIN""","SELECT DISTINCT T1.SERVICE_TYPE_CODE FROM ARTIST AS T1 JOIN ORGANIZATIONS AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T2.GENDER  =  ""'",,0,0.55555556,0,Good
COUNT THE NUMBER OF CARDS THE CUSTOMER WITH THE FIRST NAME ART AND LAST NAME TURCOTTE HAS,"SELECT COUNT(*) FROM CUSTOMERS_CARDS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T2.CUSTOMER_FIRST_NAME  =  ""ART"" AND T2.CUSTOMER_LAST_NAME  =  ""TURCOTTE""","SELECT COUNT(*) FROM ACCOUNTS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T2.CUSTOMER_FIRST_NAME  =  ""ART"" AND T2.CUSTOMER_LAST_NAME  =  ""TURCOTTE""",,1,0.95833333,1,Excellent
WHAT ARE THE DETAILS OF ALL ORGANIZATIONS THAT ARE DESCRIBED AS SPONSORS AND SORT THE RESULTS IN ASCENDING ORDER,SELECT ORGANISATION_DETAILS FROM ORGANISATIONS AS T1 JOIN ORGANISATION_TYPES AS T2 ON T1.ORGANISATION_TYPE  =  T2.ORGANISATION_TYPE WHERE T2.ORGANISATION_TYPE_DESCRIPTION  =  'SPONSOR' ORDER BY ORGANISATION_DETAILS,SELECT T1.TITLE FROM ITEM AS T1 JOIN REVIEW AS T2 ON T1.I_ID  =  T2.I_ID WHERE T2.RATING  <  5,,0,0.5007734,0,Good
FIND THE AVERAGE PRICE OF WINES THAT ARE NOT PRODUCED FROM SONOMA COUNTY,SELECT AVG(PRICE) FROM WINE WHERE APPELATION NOT IN (SELECT T1.APPELATION FROM APPELLATIONS AS T1 JOIN WINE AS T2 ON T1.APPELATION  =  T2.APPELATION WHERE T1.COUNTY  =  'SONOMA'),"SELECT AVG(T2.PRICE) FROM APPELLATIONS AS T1 JOIN WINE AS T2 ON T1.APPELATION  =  T2.APPELATION WHERE T1.COUNTY  =  ""SONOMA""",,2,0.77352678,0.75,Very Good
FIND THE NAMES OF ALL INSTRUCTORS IN THE ART DEPARTMENT WHO HAVE TAUGHT SOME COURSE AND THE COURSE_ID,"SELECT NAME ,  COURSE_ID FROM INSTRUCTOR AS T1 JOIN TEACHES AS T2 ON T1.ID  =  T2.ID WHERE T1.DEPT_NAME  =  'ART'","SELECT NAME ,  COURSE_ID FROM INSTRUCTOR AS T1 JOIN TEACHES AS T2 ON T1.ID  =  T2.ID WHERE T1.DEPT_NAME  =  'ART'","SELECT NAME ,  COURSE_ID FROM INSTRUCTOR AS T1 JOIN TEACHES AS T2 ON T1.ID  =  T2.ID WHERE T1.DEPT_NAME  =  'ART'",2,1,1,Excellent
DISPLAY THE EMPLOYEE ID AND JOB NAME FOR ALL THOSE JOBS IN DEPARTMENT 80,"SELECT T1.EMPLOYEE_ID ,  T2.JOB_TITLE FROM EMPLOYEES AS T1 JOIN JOBS AS T2 ON T1.JOB_ID  =  T2.JOB_ID WHERE T1.DEPARTMENT_ID = 80",SELECT DISTINCT T1.FORENAME FROM DRIVERS AS T1 JOIN DRIVERSTANDINGS AS T2 ON T1.DRIVERID = T2.DRIVERID WHERE T2.POSITION = 1 AND T2.WINS = 1,,0,0.48666426,0,Good
WHAT ARE THE OPEN AND CLOSE DATES OF ALL THE POLICIES USED BY THE CUSTOMER WHO HAVE DIANA IN PART OF THEIR NAMES,"SELECT T2.DATE_OPENED ,  T2.DATE_CLOSED FROM CUSTOMERS AS T1 JOIN CUSTOMERS_POLICIES AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T1.CUSTOMER_NAME LIKE ""%DIANA%""",SELECT DISTINCT T1.PLAYER_NAME FROM ARTIST AS T1 JOIN PLAYER_ATTRIBUTES AS T2 ON T1.PLAYER_API_ID = T2.PLAYER_API_ID WHERE T2.DRIBBLING  =  ( SELECT MAX(OVERALL_RATING) FROM PLAYER_ATTRIBUTES),,0,0.42905817,0,Good
WHAT IS THE ID OF THE INSTRUCTOR WHO ADVISES OF ALL STUDENTS FROM HISTORY DEPARTMENT,SELECT I_ID FROM ADVISOR AS T1 JOIN STUDENT AS T2 ON T1.S_ID  =  T2.ID WHERE T2.DEPT_NAME  =  'HISTORY',"SELECT DISTINCT T1.FNAME ,  T1.LNAME FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  T2.PRESIDENT_VOTE WHERE T1.SEX  =  ""F""",,1,0.52925612,0,Good
FIND THE DISTINCT ADVISOR OF STUDENTS WHO HAVE TREASURER VOTES IN THE SPRING ELECTION CYCLE,"SELECT DISTINCT T1.ADVISOR FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  T2.TREASURER_VOTE WHERE T2.ELECTION_CYCLE  =  ""SPRING""","SELECT DISTINCT T1.FNAME ,  T1.LNAME FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  T2.VICE_PRESIDENT_VOTE WHERE T1.AGE  =  18",,2,0.68421053,0.25,Very Good
FIND THE NAMES OF CATALOG ENTRIES WITH LEVEL NUMBER 8,"SELECT T1.CATALOG_ENTRY_NAME FROM CATALOG_CONTENTS AS T1 JOIN CATALOG_CONTENTS_ADDITIONAL_ATTRIBUTES AS T2 ON T1.CATALOG_ENTRY_ID  =  T2.CATALOG_ENTRY_ID WHERE T2.CATALOG_LEVEL_NUMBER  =  ""8""","SELECT T1.CATALOG_ENTRY_NAME FROM CATALOG_CONTENTS AS T1 JOIN CATALOG_CONTENTS_ADDITIONAL_ATTRIBUTES AS T2 ON T1.CATALOG_ENTRY_ID  =  T2.CATALOG_ENTRY_ID WHERE T2.CATALOG_LEVEL_NUMBER  =  ""8""","SELECT T1.CATALOG_ENTRY_NAME FROM CATALOG_CONTENTS AS T1 JOIN CATALOG_CONTENTS_ADDITIONAL_ATTRIBUTES AS T2 ON T1.CATALOG_ENTRY_ID  =  T2.CATALOG_ENTRY_ID WHERE T2.CATALOG_LEVEL_NUMBER  =  ""8""",2,1,1,Excellent
WHICH STUDENTS HAVE PROFESSORS AS THEIR ADVISORS FIND THEIR STUDENT IDS,"SELECT T2.STUID FROM FACULTY AS T1 JOIN STUDENT AS T2 ON T1.FACID  =  T2.ADVISOR WHERE T1.RANK  =  ""PROFESSOR""","SELECT SUM(T2.PRICE) FROM APPELLATIONS AS T1 JOIN WINE AS T2 ON T1.APPELATION  =  T2.APPELATION WHERE T1.COUNTY  =  ""SONOMA""",,0,0.56577895,0,Good
WHAT ARE THE ISSUE DATES OF VOLUMES ASSOCIATED WITH THE ARTIST GORGOROTH,"SELECT T2.ISSUE_DATE FROM ARTIST AS T1 JOIN VOLUME AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.ARTIST  =  ""GORGOROTH""",SELECT ISSUE_DATE FROM ARTIST AS T1 JOIN VOLUME AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.AGE  <=  23,,2,0.74316054,0.5,Very Good
FOR EACH YEAR RETURN THE YEAR AND THE NUMBER OF TIMES THE TEAM BOSTON RED STOCKINGS WON IN THE POSTSEASONS,"SELECT COUNT(*) ,  T1.YEAR FROM POSTSEASON AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID_WINNER  =  T2.TEAM_ID_BR WHERE T2.NAME  =  'BOSTON RED STOCKINGS' GROUP BY T1.YEAR","SELECT T1.FLNO FROM FLIGHT AS T1 JOIN AIRCRAFT AS T2 ON T1.AID  =  T2.AID WHERE T2.NAME  =  ""AIRBUS A340-300""",,0,0.44992127,0.2,Good
WHAT IS THE AVERAGE NUMBER OF HOURS SPENT PRACTICING FOR STUDENTS WHO GOT REJECTED,SELECT AVG(T1.HS) FROM PLAYER AS T1 JOIN TRYOUT AS T2 ON T1.PID  =  T2.PID WHERE T2.DECISION  =  'NO',"SELECT T1.PNAME ,  T1.HS FROM PLAYER AS T1 JOIN TRYOUT AS T2 ON T1.PID  =  T2.PID WHERE T2.DECISION  =  'YES'",,2,0.82078268,0.75,Excellent
FOR EACH DIRECTOR WHAT ARE THE TITLES AND RATINGS FOR ALL THE MOVIES THEY REVIEWED,"SELECT T2.TITLE ,  T1.STARS ,  T2.DIRECTOR ,  MAX(T1.STARS) FROM RATING AS T1 JOIN MOVIE AS T2 ON T1.MID  =  T2.MID WHERE DIRECTOR != ""NULL"" GROUP BY DIRECTOR","SELECT T1.TITLE FROM ALBUMS AS T1 JOIN TRACKS AS T2 ON T1.ID = T2.GENRE_ID WHERE T2.NAME = ""BALLS TO THE WALL"";",,0,0.45133547,0,Good
RETURN THE ADDRESS AND EMAIL OF THE CUSTOMER WITH THE FIRST NAME LINDA,"SELECT T2.ADDRESS ,  T1.EMAIL FROM CUSTOMER AS T1 JOIN ADDRESS AS T2 ON T2.ADDRESS_ID  =  T1.ADDRESS_ID WHERE T1.FIRST_NAME  =  'LINDA'","SELECT T2.ZIP_POSTCODE FROM CUSTOMERS AS T1 JOIN ADDRESSES AS T2 ON T1.CUSTOMER_ADDRESS_ID = T2.ADDRESS_ID WHERE T1.FIRST_NAME = ""CAROLE"" AND T1.LAST_NAME = ""BERNHARD""",,0,0.55068879,0.4,Good
WHICH CAMPUS HAS THE MOST FACULTIES IN YEAR 2003,SELECT T1.CAMPUS FROM CAMPUSES AS T1 JOIN FACULTY AS T2 ON T1.ID  =  T2.CAMPUS WHERE T2.YEAR  =  2003 ORDER BY T2.FACULTY DESC LIMIT 1,"SELECT T1.NAME FROM STAFF AS T1 JOIN TOURIST_ATTRACTIONS AS T2 ON T1.LOCATION_ID  =  T2.LOCATION_ID WHERE T1.ADDRESS  =  ""660 SHEA CRESCENT"" AND T2.HOW_TO_GET_THERE  =  ""WALK""",,0,0.4000988,0,Good
WHAT ARE THE DIFFERENT NAMES OF MOUNTAINS ASCENDED BY CLIMBERS FROM THE COUNTRY OF WEST GERMANY,"SELECT DISTINCT T2.NAME FROM CLIMBER AS T1 JOIN MOUNTAIN AS T2 ON T1.MOUNTAIN_ID  =  T2.MOUNTAIN_ID WHERE T1.COUNTRY  =  ""WEST GERMANY""","SELECT DISTINCT T2.NAME FROM CLIMBER AS T1 JOIN MOUNTAIN AS T2 ON T1.MOUNTAIN_ID  =  T2.MOUNTAIN_ID WHERE T1.COUNTRY  =  ""WEST GERMANY""","SELECT DISTINCT T2.NAME FROM CLIMBER AS T1 JOIN MOUNTAIN AS T2 ON T1.MOUNTAIN_ID  =  T2.MOUNTAIN_ID WHERE T1.COUNTRY  =  ""WEST GERMANY""",2,1,1,Excellent
HOW MANY DEGREES WERE CONFERRED IN SAN JOSE STATE UNIVERSITY IN 2000,"SELECT DEGREES FROM CAMPUSES AS T1 JOIN DEGREES AS T2 ON T1.ID  =  T2.CAMPUS WHERE T1.CAMPUS  =  ""SAN JOSE STATE UNIVERSITY"" AND T2.YEAR  =  2000","SELECT DEGREES FROM CAMPUSES AS T1 JOIN DEGREES AS T2 ON T1.ID  =  T2.CAMPUS WHERE T1.CAMPUS  =  ""SAN JOSE STATE UNIVERSITY"" AND T2.YEAR  =  2000","SELECT DEGREES FROM CAMPUSES AS T1 JOIN DEGREES AS T2 ON T1.ID  =  T2.CAMPUS WHERE T1.CAMPUS  =  ""SAN JOSE STATE UNIVERSITY"" AND T2.YEAR  =  2000",2,1,1,Excellent
ON WHAT DAY WAS THE ORDER WITH INVOICE NUMBER 10 PLACED,SELECT T1.DATE_ORDER_PLACED FROM ORDERS AS T1 JOIN SHIPMENTS AS T2 ON T1.ORDER_ID = T2.ORDER_ID WHERE T2.INVOICE_NUMBER = 10,"SELECT AVG(T1.ROM_MIB) FROM CHIP_MODEL AS T1 JOIN PHONE AS T2 ON T1.MODEL_NAME  =  T2.CHIP_MODEL WHERE T2.COMPANY_NAME = ""NOKIA CORPORATION"";",,0,0.46915743,0,Good
WHICH STUDENTS ARE ADVISED BY MICHAEL GOODRICH GIVE ME THEIR FIRST AND LAST NAMES,"SELECT T2.FNAME ,  T2.LNAME FROM FACULTY AS T1 JOIN STUDENT AS T2 ON T1.FACID  =  T2.ADVISOR WHERE T1.FNAME  =  ""MICHAEL"" AND T1.LNAME  =  ""GOODRICH""","SELECT COUNT(*) FROM PERFORMANCE AS T1 JOIN BAND AS T2 ON T1.BANDMATE  =  T2.ID WHERE T2.FIRSTNAME  =  ""SOLVEIG""",,0,0.50051733,0,Good
