Questions,Query,Predicted,CorrectlyPredicted,TablesPredicted Correctly,Similarity,Columns predicted Correctly
HOW MANY CITIES ARE IN AUSTRALIA,SELECT COUNT(*) FROM CITY AS T1 JOIN COUNTRY AS T2 ON T1.COUNTRY_ID  =  T2.COUNTRY_ID WHERE T2.COUNTRY  =  'AUSTRALIA',"SELECT COUNT(*) FROM COUNTRY AS T1 JOIN LEAGUE AS T2 ON T1.ID  =  T2.COUNTRY_ID WHERE T2.NAME  =  ""AUSTRALIA'",,1,0.78072006,0.33333333
HOW MANY LESSONS WERE TAUGHT BY A STAFF MEMBER WHOSE FIRST NAME HAS THE LETTER 'A' IN IT,"SELECT COUNT(*) FROM LESSONS AS T1 JOIN STAFF AS T2 ON T1.STAFF_ID = T2.STAFF_ID WHERE T2.FIRST_NAME LIKE ""%A%""","SELECT COUNT(*) FROM LESSONS AS T1 JOIN STAFF AS T2 ON T1.STAFF_ID = T2.STAFF_ID WHERE T2.FIRST_NAME LIKE ""%A%""","SELECT COUNT(*) FROM LESSONS AS T1 JOIN STAFF AS T2 ON T1.STAFF_ID = T2.STAFF_ID WHERE T2.FIRST_NAME LIKE ""%A%""",2,1,1
RETURN THE ADDRESS OF CUSTOMER 10,SELECT T1.ADDRESS_DETAILS FROM ADDRESSES AS T1 JOIN CUSTOMER_ADDRESSES AS T2 ON T1.ADDRESS_ID  =  T2.ADDRESS_ID WHERE T2.CUSTOMER_ID  =  10,SELECT T2.ADDRESS FROM CUSTOMERS AS T1 JOIN ADDRESSES AS T2 ON T1.ADDRESS_ID  =  T2.ADDRESS_ID WHERE T1.FIRST_NAME  =  'ELSA',,1,0.72760688,0.5
HOW MANY DIFFERENT INSTRUMENTS DOES THE MUSICIAN WITH THE LAST NAME HEILO USE,"SELECT COUNT(DISTINCT INSTRUMENT) FROM INSTRUMENTS AS T1 JOIN BAND AS T2 ON T1.BANDMATEID  =  T2.ID WHERE T2.LASTNAME  =  ""HEILO""","SELECT TYPE FROM VOCALS AS T1 JOIN BAND AS T2 ON T1.BANDMATE  =  T2.ID WHERE LASTNAME  =  ""HEILO"" GROUP BY T2.LASTNAME  =  ""BUSINESS'",,1,0.66683134,0.66666667
HOW MANY PROBLEMS DID THE PRODUCT CALLED VOLUPTATEM HAVE IN RECORD,"SELECT COUNT(*) FROM PRODUCT AS T1 JOIN PROBLEMS AS T2 ON T1.PRODUCT_ID = T2.PRODUCT_ID WHERE T1.PRODUCT_NAME = ""VOLUPTATEM""",SELECT AVG(T2.PRICE) FROM RACES AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS',,0,0.51176632,0
SHOW THE START DATES AND END DATES OF ALL THE APARTMENT BOOKINGS MADE BY GUESTS WITH GENDER CODE FEMALE,"SELECT T1.BOOKING_START_DATE ,  T1.BOOKING_START_DATE FROM APARTMENT_BOOKINGS AS T1 JOIN GUESTS AS T2 ON T1.GUEST_ID  =  T2.GUEST_ID WHERE T2.GENDER_CODE  =  ""FEMALE""","SELECT DISTINCT T1.APT_NUMBER FROM APARTMENT_BOOKINGS AS T1 JOIN APARTMENTS AS T2 ON T1.APT_ID  =  T2.APT_ID WHERE T1.BOOKING_STATUS_CODE  =  ""CONFIRMED""",,1,0.63157895,0
HOW MANY TIMES DID BOSTON RED STOCKINGS LOSE IN 2009 POSTSEASON,SELECT COUNT(*) FROM POSTSEASON AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID_LOSER  =  T2.TEAM_ID_BR WHERE T2.NAME  =  'BOSTON RED STOCKINGS' AND T1.YEAR = 2009;,SELECT COUNT(*) FROM SALARY AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS' AND T1.YEAR  =  2000,,1,0.86291099,0.75
WHAT ARE THE DISTINCT POSITIONS OF THE PLAYERS FROM A COUNTRY WHOSE CAPITAL IS DUBLIN,"SELECT DISTINCT T2.POSITION FROM COUNTRY AS T1 JOIN MATCH_SEASON AS T2 ON T1.COUNTRY_ID  =  T2.COUNTRY WHERE T1.CAPITAL  =  ""DUBLIN""","SELECT DISTINCT T2.POSITION FROM COUNTRY AS T1 JOIN MATCH_SEASON AS T2 ON T1.COUNTRY_ID  =  T2.COUNTRY WHERE T1.CAPITAL  =  ""DUBLIN""","SELECT DISTINCT T2.POSITION FROM COUNTRY AS T1 JOIN MATCH_SEASON AS T2 ON T1.COUNTRY_ID  =  T2.COUNTRY WHERE T1.CAPITAL  =  ""DUBLIN""",2,1,1
WHAT ARE THE NAMES AND CITIES OF BANK BRANCHES THAT OFFER LOANS FOR BUSINESS,"SELECT T1.BNAME ,  T1.CITY FROM BANK AS T1 JOIN LOAN AS T2 ON T1.BRANCH_ID  =  T2.BRANCH_ID WHERE T2.LOAN_TYPE  =  'BUSINESS'","SELECT T1.YEAR FROM FILM_MARKET_ESTIMATION AS T1 JOIN MARKET AS T2 ON T1.MARKET_ID  =  T2.MARKET_ID WHERE T2.COUNTRY  =  ""JAPAN"" ORDER BY T1.YEAR DESC",,0,0.45056356,0
WHAT ARE THE FAMOUS TITLE OF THE ARTISTS ASSOCIATED WITH VOLUMES WITH MORE THAN 2 WEEKS ON TOP,SELECT T1.FAMOUS_TITLE FROM ARTIST AS T1 JOIN VOLUME AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T2.WEEKS_ON_TOP  >  2,SELECT T1.FAMOUS_TITLE FROM ARTIST AS T1 JOIN VOLUME AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T2.WEEKS_ON_TOP  >  2,SELECT T1.FAMOUS_TITLE FROM ARTIST AS T1 JOIN VOLUME AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T2.WEEKS_ON_TOP  >  2,2,1,1
WHAT ARE THE TITLES AND IDS FOR ALBUMS CONTAINING TRACKS WITH UNIT PRICE GREATER THAN 1,"SELECT T1.TITLE ,  T2.ALBUMID FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.ALBUMID  =  T2.ALBUMID WHERE T2.UNITPRICE  >  1 GROUP BY T2.ALBUMID","SELECT T1.PROJECT_DETAILS FROM PROJECTS AS T1 JOIN DOCUMENTS AS T2 ON T1.PROJECT_ID  =  T2.PROJECT_ID WHERE T2.DOCUMENT_NAME  =  ""KING BOOK""",,0,0.46169026,0
HOW MANY FACULTY LINES ARE THERE AT SAN FRANCISCO STATE UNIVERSITY IN 2004,"SELECT FACULTY FROM FACULTY AS T1 JOIN CAMPUSES AS T2 ON T1.CAMPUS  =  T2.ID WHERE T1.YEAR  =  2004 AND T2.CAMPUS  =  ""SAN FRANCISCO STATE UNIVERSITY""","SELECT FACULTY FROM FACULTY AS T1 JOIN CAMPUSES AS T2 ON T1.CAMPUS  =  T2.ID WHERE T1.YEAR  =  2004 AND T2.CAMPUS  =  ""SAN FRANCISCO STATE UNIVERSITY""","SELECT FACULTY FROM FACULTY AS T1 JOIN CAMPUSES AS T2 ON T1.CAMPUS  =  T2.ID WHERE T1.YEAR  =  2004 AND T2.CAMPUS  =  ""SAN FRANCISCO STATE UNIVERSITY""",2,1,1
FIND THE NAME AND HOURS OF THE STUDENTS WHOSE TRYOUT DECISION IS YES,"SELECT T1.PNAME ,  T1.HS FROM PLAYER AS T1 JOIN TRYOUT AS T2 ON T1.PID  =  T2.PID WHERE T2.DECISION  =  'YES'",SELECT T1.PNAME FROM PLAYER AS T1 JOIN TRYOUT AS T2 ON T1.PID  =  T2.PID WHERE T2.DECISION  =  'YES' AND T2.PPOS  =  'STRIKER',,2,0.8720816,0.8
WHAT CAMPUS HAS THE MOST FACULTIES IN 2003,SELECT T1.CAMPUS FROM CAMPUSES AS T1 JOIN FACULTY AS T2 ON T1.ID  =  T2.CAMPUS WHERE T2.YEAR  =  2003 ORDER BY T2.FACULTY DESC LIMIT 1,"SELECT T1.NAME FROM ACTOR AS T1 JOIN MUSICAL AS T2 ON T1.MUSICAL_ID  =  T2.MUSICAL_ID WHERE T2.NAME  =  ""THE PHANTOM OF THE OPERA""",,0,0.41871789,0
WHAT ARE THE NAMES AND OTHER DETAILS FOR ACCOUNTS CORRESPONDING TO THE CUSTOMER NAMED MEAGHAN KEELING,"SELECT T1.ACCOUNT_NAME ,  T1.OTHER_ACCOUNT_DETAILS FROM ACCOUNTS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T2.CUSTOMER_FIRST_NAME  =  ""MEAGHAN"" AND T2.CUSTOMER_LAST_NAME  =  ""KEELING""",SELECT DISTINCT T1.PLAYER_NAME FROM PLAYER AS T1 JOIN PLAYER_ATTRIBUTES AS T2 ON T1.PLAYER_API_ID = T2.PLAYER_API_ID WHERE T2.DRIBBLING  =  ( SELECT MAX(OVERALL_RATING) FROM PLAYER_ATTRIBUTES),,0,0.41962716,0
FIND NUMBER OF PRODUCTS WHICH SONY DOES NOT MAKE,SELECT COUNT(DISTINCT NAME) FROM PRODUCTS WHERE NAME NOT IN (SELECT T1.NAME FROM PRODUCTS AS T1 JOIN MANUFACTURERS AS T2 ON T1.MANUFACTURER  =  T2.CODE WHERE T2.NAME  =  'SONY'),"SELECT SUM(T2.ORDER_QUANTITY) FROM CUSTOMER_ORDERS AS T1 JOIN ORDER_ITEMS AS T2 ON T1.ORDER_ID  =  T2.ORDER_ID WHERE T1.ORDER_STATUS  =  ""CANCELLED""",,0,0.48997894,0
CAN YOU RETURN ALL DETAILED INFO OF JOBS WHICH WAS DONE BY ANY OF THE EMPLOYEES WHO IS PRESENTLY EARNING A SALARY ON AND ABOVE 12000,SELECT * FROM  JOB_HISTORY AS T1 JOIN EMPLOYEES AS T2 ON T1.EMPLOYEE_ID  =  T2.EMPLOYEE_ID WHERE T2.SALARY  >=  12000,SELECT AVG(YEAR FROM SALARY AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T1.YEAR  =  10,,0,0.51449576,0
SHOW THE NAMES AND HEIGHTS OF BUILDINGS WITH AT LEAST TWO INSTITUTIONS FOUNDED AFTER 1880,"SELECT T1.NAME ,  T1.HEIGHT_FEET FROM BUILDING AS T1 JOIN INSTITUTION AS T2 ON T1.BUILDING_ID  =  T2.BUILDING_ID WHERE T2.FOUNDED  >  1880 GROUP BY T1.BUILDING_ID HAVING COUNT(*)  >=  2","SELECT T1.CATALOG_ENTRY_NAME FROM CATALOG_CONTENTS AS T1 JOIN CATALOG_CONTENTS_ADDITIONAL_ATTRIBUTES AS T2 ON T1.CATALOG_ENTRY_ID  =  T2.CATALOG_ENTRY_ID WHERE T2.CATALOG_LEVEL_NUMBER  =  ""8""",,0,0.40824829,0
GIVE THE COLOR DESCRIPTION FOR THE PRODUCT 'CATNIP',"SELECT T2.COLOR_DESCRIPTION FROM PRODUCTS AS T1 JOIN REF_COLORS AS T2 ON T1.COLOR_CODE  =  T2.COLOR_CODE WHERE T1.PRODUCT_NAME  =  ""CATNIP""",SELECT T2.PRODUCT_NAME FROM VIEW_PRODUCT_AVAILABILITY AS T1 JOIN PRODUCTS_FOR_HIRE AS T2 ON T1.PRODUCT_ID  =  T2.PRODUCT_ID WHERE T1.AVAILABLE_YN  =  1,,0,0.53033009,0
WHAT IS HIGHEST RATING FOR THE MOST RECENT MOVIE AND WHEN WAS IT RELEASED,"SELECT MAX(T1.STARS) ,  T2.YEAR FROM RATING AS T1 JOIN MOVIE AS T2 ON T1.MID  =  T2.MID WHERE T2.YEAR  =  (SELECT MAX(YEAR) FROM MOVIE)","SELECT T1.DIRECTOR ,  T1.TITLE FROM MOVIE AS T1 JOIN RATING AS T2 ON T1.MID  =  T2.MID WHERE T2.STARS  =  5",,2,0.73786479,0.4
FIND THE CATEGORY DESCRIPTIONS OF THE PRODUCTS WHOSE DESCRIPTIONS INCLUDE LETTER 'T',SELECT T1.PRODUCT_CATEGORY_DESCRIPTION FROM REF_PRODUCT_CATEGORIES AS T1 JOIN PRODUCTS AS T2 ON T1.PRODUCT_CATEGORY_CODE  =  T2.PRODUCT_CATEGORY_CODE WHERE T2.PRODUCT_DESCRIPTION LIKE '%T%',SELECT DISTINCT T1.SERVICE_TYPE_CODE FROM SERVICES AS T1 JOIN ORGANIZATIONS AS T2 ON T1.ORGANIZATION_ID  =  T2.ORGANIZATION_ID WHERE T2.ORGANIZATION_DETAILS  =  'DENESIK AND SONS PARTY',,0,0.50062617,0
WHAT ARE THE EMAIL ADDRESSES OF TEACHERS WHOSE ADDRESS HAS ZIP CODE 918,"SELECT T2.EMAIL_ADDRESS FROM ADDRESSES AS T1 JOIN TEACHERS AS T2 ON T1.ADDRESS_ID  =  T2.ADDRESS_ID WHERE T1.ZIP_POSTCODE  =  ""918""","SELECT DISTINCT T1.ADDRESS FROM DRIVERS AS T1 JOIN DRIVERSTANDINGS AS T2 ON T1.ID  =  T2.ADDRESS_ID WHERE T1.FIRST_NAME = ""CAROLE"" AND T1.LAST_NAME = ""BERNHARD""",,0,0.60302269,0.25
FOR ALL DIRECTORS WHO HAVE DIRECTED MORE THAN ONE MOVIE WHAT MOVIES HAVE THEY DIRECTED AND WHAT ARE THEIR NAMES,"SELECT T1.TITLE ,  T1.DIRECTOR FROM MOVIE AS T1 JOIN MOVIE AS T2 ON T1.DIRECTOR  =  T2.DIRECTOR WHERE T1.TITLE != T2.TITLE ORDER BY T1.DIRECTOR ,  T1.TITLE",SELECT DISTINCT T1.DIRECTOR FROM FILM AS T1 JOIN FILM_MARKET_ESTIMATION AS T2 ON T1.FILM_ID  =  T2.FILM_ID WHERE T2.YEAR  =  1995,,0,0.57166195,0.125
WHAT IS THE FIRST NAME AND LAST NAME EMPLOYEE HELPS THE CUSTOMER WITH FIRST NAME LEONIE,"SELECT T2.FIRSTNAME ,  T2.LASTNAME FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SUPPORTREPID  =  T2.EMPLOYEEID WHERE T1.FIRSTNAME  =  ""LEONIE""","SELECT T2.CUSTOMER_FIRST_NAME ,  T2.CUSTOMER_LAST_NAME FROM ACCOUNTS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T1.ACCOUNT_NAME  =  ""900""",,0,0.6,0
HOW MANY TOTAL POUNDS WERE PURCHASED IN THE YEAR 2018 AT ALL LONDON BRANCHES,SELECT SUM(TOTAL_POUNDS) FROM PURCHASE AS T1 JOIN BRANCH AS T2 ON T1.BRANCH_ID  =  T2.BRANCH_ID WHERE T2.CITY  =  'LONDON' AND T1.YEAR  =  2018,"SELECT SUM(T2.LESSON_TIME) FROM APARTMENT_BUILDINGS AS T1 JOIN APARTMENTS AS T2 ON T1.BUILDING_ID  =  T2.BUILDING_ID WHERE T1.BUILDING_SHORT_NAME  =  ""COLUMBUS SQUARE""",,0,0.53346507,0
FIND THE BALANCE OF THE CHECKING ACCOUNT BELONGING TO AN OWNER WHOSE NAME CONTAINS 'EE',SELECT T2.BALANCE FROM ACCOUNTS AS T1 JOIN CHECKING AS T2 ON T1.CUSTID  =  T2.CUSTID WHERE T1.NAME LIKE '%EE%',"SELECT DISTINCT STAFF_FIRST_NAME ,  STAFF_LAST_NAME FROM STAFF AS T1 JOIN PROBLEM_LOG AS T2 ON T1.STAFF_ID = T2.ASSIGNED_TO_STAFF_ID WHERE T2.PROBLEM_ID = 1",,0,0.47368421,0
WHAT ARE THE DISTINCT AGES OF STUDENTS WHO HAVE SECRETARY VOTES IN THE FALL ELECTION CYCLE,"SELECT DISTINCT T1.AGE FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  T2.SECRETARY_VOTE WHERE T2.ELECTION_CYCLE  =  ""FALL""","SELECT DISTINCT T1.AGE FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  T2.SECRETARY_VOTE WHERE T2.ELECTION_CYCLE  =  ""FALL""","SELECT DISTINCT T1.AGE FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  T2.SECRETARY_VOTE WHERE T2.ELECTION_CYCLE  =  ""FALL""",2,1,1
FIND THE BOOKING START DATE AND END DATE FOR THE APARTMENTS THAT HAVE MORE THAN TWO BEDROOMS,"SELECT T1.BOOKING_START_DATE ,  T1.BOOKING_START_DATE FROM APARTMENT_BOOKINGS AS T1 JOIN APARTMENTS AS T2 ON T1.APT_ID  =  T2.APT_ID WHERE T2.BEDROOM_COUNT  >  2","SELECT T1.BOOKING_START_DATE ,  T1.BOOKING_START_DATE FROM APARTMENT_BOOKINGS AS T1 JOIN APARTMENTS AS T2 ON T1.APT_ID  =  T2.APT_ID WHERE T2.BEDROOM_COUNT  >  2","SELECT T1.BOOKING_START_DATE ,  T1.BOOKING_START_DATE FROM APARTMENT_BOOKINGS AS T1 JOIN APARTMENTS AS T2 ON T1.APT_ID  =  T2.APT_ID WHERE T2.BEDROOM_COUNT  >  2",2,1,1
LIST LESSON ID OF ALL LESSONS TAUGHT BY STAFF WITH FIRST NAME AS JANESSA LAST NAME AS SAWAYN AND NICKNAME CONTAINING LETTER 'S',"SELECT T1.LESSON_ID FROM LESSONS AS T1 JOIN STAFF AS T2 ON T1.STAFF_ID = T2.STAFF_ID WHERE T2.FIRST_NAME = ""JANESSA"" AND T2.LAST_NAME = ""SAWAYN"" AND NICKNAME LIKE ""%S%"";","SELECT AVG(PRICE) FROM LESSONS AS T1 JOIN STAFF AS T2 ON T1.STAFF_ID = T2.STAFF_ID WHERE T2.FIRST_NAME = ""JANESSA"" AND T2.LAST_NAME = ""SAWAYN"";",,2,0.82368777,0.8
FIND THE NUMBER OF ROUTES OPERATED BY AMERICAN AIRLINES,SELECT COUNT(*) FROM AIRLINES AS T1 JOIN ROUTES AS T2 ON T1.ALID  =  T2.ALID WHERE T1.NAME  =  'AMERICAN AIRLINES',SELECT COUNT(*) FROM AIRPORTS AS T1 JOIN ROUTES AS T2 ON T1.APID  =  T2.DST_APID WHERE T1.NAME  =  'JOHN F KENNEDY INTERNATIONAL AIRPORT',,1,0.73029674,0.33333333
WHAT IS THE THEME DATE AND ATTENDANCE FOR THE EXHIBITION IN YEAR 2004,"SELECT T2.THEME ,  T1.DATE ,  T1.ATTENDANCE FROM EXHIBITION_RECORD AS T1 JOIN EXHIBITION AS T2 ON T1.EXHIBITION_ID  =  T2.EXHIBITION_ID WHERE T2.YEAR  =  2004","SELECT T1.THEME ,  T2.NAME FROM EXHIBITION AS T1 JOIN ARTIST AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.TICKET_PRICE  >  (SELECT AVG(TICKET_PRICE) FROM EXHIBITION)",,1,0.53802759,0
COUNT THE NUMBER OF TIMES THE TEAM BOSTON RED STOCKINGS LOST IN 2009 POSTSEASON,SELECT COUNT(*) FROM POSTSEASON AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID_LOSER  =  T2.TEAM_ID_BR WHERE T2.NAME  =  'BOSTON RED STOCKINGS' AND T1.YEAR = 2009;,SELECT COUNT(*) FROM SALARY AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS' AND T1.YEAR  =  2000,,1,0.86291099,0.75
